date,hour,type
1-3-22,0,holiday
1-3-22,0,holiday
1-3-22,9,low
1-3-22,10,low
1-3-22,19,low
1-4-22,4,low
1-4-22,0,low
1-4-22,0,low
1-4-22,4,low
1-4-22,0,high
1-4-22,10,high
1-4-22,0,high
1-4-22,0,low
1-4-22,0,low
1-5-22,8,high
1-5-22,9,low
1-5-22,10,low
1-5-22,14,high
1-6-22,4,low
1-6-22,7,low
1-6-22,8,medium
1-6-22,0,low
1-6-22,10,high
1-6-22,0,low
1-6-22,10,low
1-7-22,2,low
1-7-22,4,low
1-7-22,0,low
1-7-22,8,high
1-7-22,0,high
1-7-22,0,high
1-7-22,24,low
1-7-22,15,low
1-8-22,10,low
1-8-22,24,low
1-10-22,10,low
1-10-22,19,low
1-11-22,5,low
1-11-22,9,low
1-11-22,9,low
1-11-22,10,high
1-11-22,0,low
1-12-22,8,high
1-12-22,0,high
1-12-22,0,high
1-12-22,9,low
1-12-22,10,medium
1-12-22,13,medium
1-12-22,14,low
1-12-22,0,low
1-13-22,3,low
1-13-22,4,low
1-13-22,0,low
1-13-22,8,high
1-13-22,0,medium
1-13-22,0,medium
1-13-22,10,medium
1-13-22,10,low
1-13-22,13,medium
1-14-22,2,low
1-14-22,0,low
1-14-22,0,low
1-14-22,0,low
1-14-22,0,low
1-14-22,0,low
1-14-22,8,high
1-14-22,0,high
1-14-22,0,low
1-14-22,9,medium
1-14-22,0,low
1-14-22,9,low
1-14-22,9,low
1-14-22,10,medium
1-14-22,0,low
1-14-22,0,low
1-14-22,11,low
1-16-22,19,low
1-17-22,1,medium
1-17-22,0,holiday
1-18-22,2,low
1-18-22,0,low
1-18-22,0,low
1-18-22,2,medium
1-18-22,8,medium
1-18-22,10,low
1-18-22,16,low
1-19-22,2,high
1-19-22,0,low
1-19-22,0,low
1-19-22,0,low
1-19-22,0,low
1-19-22,3,medium
1-19-22,4,low
1-19-22,8,low
1-19-22,0,low
1-19-22,9,high
1-19-22,19,low
1-20-22,4,medium
1-20-22,8,medium
1-20-22,0,medium
1-20-22,10,medium
1-20-22,10,low
1-20-22,11,medium
1-20-22,19,low
1-21-22,2,medium
1-21-22,5,medium
1-21-22,8,low
1-21-22,10,low
1-21-22,11,medium
1-24-22,4,medium
1-24-22,0,medium
1-24-22,9,medium
1-24-22,0,medium
1-25-22,2,low
1-25-22,6,low
1-25-22,9,low
1-25-22,0,low
1-25-22,9,low
1-25-22,10,medium
1-26-22,8,low
1-26-22,0,low
1-26-22,10,low
1-26-22,10,medium
1-26-22,14,high
1-26-22,0,high
1-26-22,14,high
1-27-22,6,low
1-27-22,8,high
1-27-22,0,medium
1-27-22,0,medium
1-27-22,0,medium
1-27-22,0,medium
1-27-22,10,medium
1-27-22,10,low
1-28-22,8,high
1-28-22,0,low
1-28-22,0,low
1-28-22,0,low
1-28-22,10,medium
1-28-22,0,low
1-31-22,9,medium
1-31-22,24,medium
1-31-22,14,low
2-1-22,2,low
2-1-22,4,low
2-1-22,0,low
2-1-22,0,low
2-1-22,0,low
2-1-22,9,low
2-1-22,10,high
2-1-22,0,high
2-1-22,0,low
2-1-22,0,low
2-1-22,0,low
2-1-22,19,low
2-2-22,0,high
2-2-22,8,high
2-2-22,10,medium
2-3-22,4,low
2-3-22,7,high
2-3-22,0,high
2-3-22,0,high
2-3-22,0,high
2-3-22,0,high
2-3-22,0,high
2-3-22,7,high
2-3-22,0,low
2-3-22,8,medium
2-3-22,0,low
2-3-22,0,low
2-3-22,9,low
2-3-22,10,high
2-3-22,0,low
2-3-22,10,low
2-4-22,4,low
2-4-22,7,medium
2-4-22,8,high
2-4-22,0,high
2-4-22,0,high
2-4-22,10,low
2-7-22,2,low
2-7-22,15,low
2-7-22,19,low
2-8-22,5,low
2-8-22,8,low
2-8-22,9,low
2-9-22,8,low
2-9-22,10,low
2-9-22,10,medium
2-9-22,0,low
2-9-22,24,medium
2-9-22,13,medium
2-9-22,19,low
2-10-22,8,high
2-10-22,0,high
2-10-22,0,high
2-10-22,0,medium
2-10-22,10,low
2-10-22,10,low
2-10-22,24,high
2-10-22,13,medium
2-10-22,14,low
2-11-22,2,medium
2-11-22,0,low
2-11-22,0,low
2-11-22,0,low
2-11-22,0,low
2-11-22,0,low
2-11-22,0,low
2-11-22,4,low
2-11-22,8,low
2-11-22,10,medium
2-11-22,0,low
2-14-22,8,high
2-15-22,2,low
2-15-22,0,low
2-15-22,0,low
2-15-22,5,low
2-15-22,8,high
2-15-22,0,medium
2-15-22,0,medium
2-15-22,9,low
2-15-22,15,low
2-15-22,16,low
2-16-22,2,high
2-16-22,0,low
